product,category_name
mjölk,Mejeri
standardmjölk,Mejeri
lättmjölk,Mejeri
mellanmjölk,Mejeri
laktosfri mjölk,Mejeri
havremjölk,Mejeri
sojamjölk,Mejeri
mandelmjölk,Mejeri
yoghurt,Mejeri
grekisk yoghurt,Mejeri
turkisk yoghurt,Mejeri
naturell yoghurt,Mejeri
vaniljyoghurt,Mejeri
fruktjoghurt,Mejeri
kvarg,Mejeri
grädde,Mejeri
vispgrädde,Mejeri
matlagningsgrädde,Mejeri
crème fraiche,Mejeri
smetana,Mejeri
gräddfil,Mejeri
filmjölk,Mejeri
kefir,Mejeri
smör,Mejeri
normalsaltat smör,Mejeri
osaltat smör,Mejeri
laktosfritt smör,Mejeri
margarin,Mejeri
matfettsblandning,Mejeri
ost,Mejeri
hårdost,Mejeri
präst,Mejeri
grevé,Mejeri
edamer,Mejeri
gouda,Mejeri
herrgård,Mejeri
västerbotten,Mejeri
parmesan,Mejeri
grana padano,Mejeri
mozzarella,Mejeri
fetaost,Mejeri
halloumi,Mejeri
chèvre,Mejeri
brie,Mejeri
camembert,Mejeri
gorgonzola,Mejeri
ädelost,Mejeri
cottage cheese,Mejeri
kesella,Mejeri
ricotta,Mejeri
mascarpone,Mejeri
philadelphia,Mejeri
mjukost,Mejeri
smältost,Mejeri
mini mascarpone,Mejeri
liten kefir,Mejeri
vitaminrik kvarg,Mejeri
citron crème fraiche,Mejeri
mini västerbotten,Mejeri
ricotta,Mejeri
camembert,Mejeri
rå havremjölk,Mejeri
delvis standardmjölk,Mejeri
saltad vaniljyoghurt,Mejeri
familjepaket crème fraiche,Mejeri
stor matfettsblandning,Mejeri
herrgård,Mejeri
full smetana,Mejeri
Netto camembert,Mejeri
premium vaniljyoghurt,Mejeri
fryst kesella,Mejeri
gouda,Mejeri
citron gorgonzola,Mejeri
gräddfil,Mejeri
grillad vispgrädde,Mejeri
super herrgård,Mejeri
vispgrädde,Mejeri
instant präst,Mejeri
citron kesella,Mejeri
mineralrik sojamjölk,Mejeri
naturlig smak lättmjölk,Mejeri
vitaminrik mandelmjölk,Mejeri
instant laktosfritt smör,Mejeri
färdiglagad smetana,Mejeri
färsk vispgrädde,Mejeri
mascarpone,Mejeri
extra grädde,Mejeri
Willys standardmjölk,Mejeri
halvfabrikat smör,Mejeri
mini grekisk yoghurt,Mejeri
jordgubb fetaost,Mejeri
Hemköp ädelost,Mejeri
naturlig smak naturell yoghurt,Mejeri
liten mascarpone,Mejeri
